case_id,target_well,protocol_text,operation_count,deck_format,head_mode,stress_regime,volume_ul,antigen_a_pct,antigen_b_pct,buffer_pct,carryover_risk
adl_000000,WORK:F05,SEED ANTIGEN_A SRC:C02 120 ; SEED ANTIGEN_B SRC:A04 100 ; SEED BUFFER SRC:B02 120 ; SEED ANTIGEN_A SRC:A03 120 ; PIPET SRC:C02 WORK:B01 36 0.02 ; PIPET SRC:A04 WORK:F05 12 0.00 ; PIPET SRC:B02 WORK:F04 24 0.04 ; DILUTE WORK:C07 BUFFER 10 ; DILUTE WORK:B02 RINSE 15 ; DECAY SRC:B02 0.15 0.00 ; DILUTE WORK:B02 RINSE 20 ; PIPET WORK:C07 WORK:C07 8 0.02 ; CARRY WORK:C07 WORK:F05 6000 ; EVAP WORK:F05 0.18 ; PIPET WORK:F04 WORK:G04 12 0.05 ; DECAY WORK:C07 0.00 0.00 ; PIPET SRC:C02 WORK:F05 16 0.05 ; EVAP WORK:F05 0.02 ; PIPET WORK:F04 WORK:G10 6 0.08 ; EVAP WORK:G04 0.02 ; FANOUT WORK:G10 WORK:B02 WORK:F05 WORK:B01 18 0.20 0.40 0.06 ; PIPET WORK:G04 WORK:E02 6 0.05 ; PIPET SRC:A04 WORK:F05 20 0.02 ; CARRY SRC:B02 WORK:G10 1500 ; PIPET WORK:G04 WORK:E02 8 0.02 ; EVAP SRC:A04 0.12 ; DILUTE WORK:C07 RINSE 8,27,source_to_assay,span8,carryover_prone,46.26216,32.1991,63.21191,4.58899,0.1
adl_000001,OUT:B05,SEED ANTIGEN_A SRC:A01 60 ; SEED ANTIGEN_B SRC:D05 80 ; SEED BUFFER SRC:B02 60 ; SEED ANTIGEN_A SRC:A04 120 ; PIPET SRC:A01 WORK:D02 24 0.02 ; PIPET SRC:D05 OUT:C06 12 0.02 ; PIPET SRC:B02 WORK:A04 36 0.02 ; DECAY WORK:A04 0.05 0.14 ; FANOUT OUT:C06 OUT:B10 OUT:D05 WORK:D02 12 0.50 0.30 0.00 ; DECAY OUT:D05 0.00 0.00 ; DILUTE OUT:B10 ANTIGEN_A 5 ; DILUTE OUT:B05 ANTIGEN_B 20 ; DECAY OUT:B10 0.15 0.09 ; DILUTE WORK:A01 ANTIGEN_B 15 ; PIPET WORK:A01 WORK:C09 16 0.00 ; PIPET SRC:A01 OUT:B05 16 0.05 ; PIPET SRC:A04 WORK:G04 4 0.08 ; EVAP OUT:D05 0.05 ; RINSE OUT:B05 12 0.10,19,two_plate_bridge,single_tip,mixed_stress,15.52,9.79381,12.8866,77.31959,0.03
adl_000002,WORK:A01,SEED ANTIGEN_A SRC:C05 100 ; SEED ANTIGEN_B SRC:B03 100 ; SEED BUFFER SRC:C04 60 ; SEED ANTIGEN_B SRC:D02 80 ; PIPET SRC:C05 OUT:C06 36 0.02 ; PIPET SRC:B03 WORK:A01 30 0.00 ; PIPET SRC:C04 WORK:D01 36 0.07 ; DILUTE OUT:C06 RINSE 5 ; FANOUT WORK:A01 OUT:A04 OUT:A11 WORK:H10 9 0.20 0.30 0.06 ; DECAY WORK:H10 0.10 0.14 ; RINSE OUT:A11 8 0.01 ; CAP OUT:C06 90 ; DILUTE WORK:B08 ANTIGEN_B 8 ; CARRY SRC:C04 WORK:A01 750 ; EVAP OUT:A11 0.18 ; PIPET SRC:D02 WORK:A02 20 0.05 ; DILUTE WORK:F07 ANTIGEN_B 20 ; CAP WORK:H09 70 ; FANOUT WORK:B08 WORK:A01 WORK:A02 OUT:C06 9 0.40 0.30 0.06 ; EVAP OUT:A11 0.02 ; RINSE WORK:A01 20 0.01,21,source_to_assay,single_tip,mixed_stress,20.24026,0.0,1.18615,98.81385,0.1
adl_000003,WORK:H02,SEED ANTIGEN_A SRC:C05 120 ; SEED ANTIGEN_B SRC:D06 80 ; SEED BUFFER SRC:B03 100 ; SEED ANTIGEN_A SRC:C01 120 ; PIPET SRC:C05 OUT:A06 30 0.04 ; PIPET SRC:D06 WORK:H02 12 0.07 ; PIPET SRC:B03 WORK:F05 12 0.04 ; PIPET SRC:C01 WORK:F05 6 0.05 ; DILUTE WORK:E03 ANTIGEN_B 8 ; DILUTE OUT:A06 ANTIGEN_B 15 ; EVAP OUT:A06 0.05 ; PIPET WORK:E03 OUT:A06 8 0.05 ; CARRY OUT:A06 WORK:H04 250 ; CARRY WORK:H02 OUT:A06 1500 ; DECAY SRC:D06 0.15 0.09 ; CARRY OUT:A06 WORK:A11 250 ; CAP OUT:A06 90 ; DILUTE WORK:H04 RINSE 8 ; FANOUT WORK:H04 WORK:E03 WORK:G03 WORK:H02 24 0.50 0.20 0.06 ; DILUTE OUT:A06 ANTIGEN_B 20 ; PIPET SRC:C01 OUT:A06 12 0.05 ; RINSE SRC:B03 16 0.06 ; CARRY SRC:C05 WORK:A11 3000,23,three_zone_validation,eight_channel,low_loss,13.41947,0.01437,83.17423,16.8114,0.1
adl_000004,WORK:D05,SEED ANTIGEN_A SRC:C04 60 ; SEED ANTIGEN_B SRC:A06 120 ; SEED BUFFER SRC:B03 80 ; SEED ANTIGEN_B SRC:B05 100 ; PIPET SRC:C04 WORK:D09 24 0.07 ; PIPET SRC:A06 OUT:B03 24 0.02 ; PIPET SRC:B03 OUT:A10 30 0.02 ; CARRY OUT:B03 OUT:A10 1500 ; DILUTE WORK:F12 ANTIGEN_A 10 ; DILUTE OUT:B03 BUFFER 15 ; DECAY WORK:F12 0.00 0.00 ; EVAP WORK:F12 0.12 ; CAP OUT:A10 90 ; PIPET SRC:B03 WORK:F12 4 0.00 ; CAP OUT:A10 40 ; CARRY WORK:F12 WORK:D05 250 ; FANOUT SRC:A06 WORK:D09 WORK:G08 OUT:C04 9 0.50 0.30 0.03 ; FANOUT OUT:A10 WORK:G08 OUT:A10 OUT:B04 18 0.50 0.20 0.03 ; RINSE OUT:C04 16 0.03 ; DILUTE WORK:D05 RINSE 5 ; RINSE SRC:C04 12 0.03 ; PIPET WORK:G08 OUT:C04 20 0.05 ; RINSE WORK:D09 20 0.03 ; EVAP WORK:D05 0.05 ; DILUTE OUT:B03 RINSE 15 ; RINSE WORK:D05 8 0.06 ; FANOUT OUT:B03 OUT:C04 WORK:D09 OUT:A10 12 0.50 0.30 0.03 ; RINSE OUT:B03 20 0.10 ; RINSE OUT:B03 20 0.01 ; FANOUT SRC:B05 OUT:C04 OUT:B03 OUT:B04 24 0.40 0.30 0.00 ; CAP OUT:B03 40 ; FANOUT WORK:D09 WORK:G08 OUT:C04 WORK:F12 9 0.50 0.30 0.06,32,three_zone_validation,eight_channel,low_loss,8.28518,0.00151,0.0,99.99849,0.1
adl_000005,WORK:D05,SEED ANTIGEN_A SRC:A06 120 ; SEED ANTIGEN_B SRC:A04 120 ; SEED BUFFER SRC:B04 60 ; SEED ANTIGEN_B SRC:B03 120 ; PIPET SRC:A06 OUT:D06 18 0.07 ; PIPET SRC:A04 WORK:E01 30 0.07 ; PIPET SRC:B04 WORK:C04 24 0.00 ; FANOUT WORK:C04 WORK:B12 WORK:C04 WORK:H03 9 0.30 0.30 0.03 ; DILUTE WORK:H03 ANTIGEN_A 5 ; RINSE SRC:A06 12 0.01 ; PIPET SRC:B03 OUT:D06 4 0.08 ; CARRY OUT:D06 WORK:A12 3000 ; DECAY WORK:E01 0.05 0.09 ; CARRY SRC:B03 WORK:H12 750 ; PIPET SRC:B04 WORK:H03 6 0.05 ; DILUTE WORK:E01 ANTIGEN_B 8 ; FANOUT SRC:A04 WORK:C04 WORK:A12 WORK:E01 9 0.40 0.30 0.00 ; DILUTE WORK:C04 ANTIGEN_B 10 ; FANOUT SRC:A06 WORK:H03 WORK:A12 WORK:D05 24 0.30 0.30 0.00 ; DILUTE WORK:H12 BUFFER 10 ; PIPET WORK:E01 WORK:A12 20 0.02 ; DILUTE WORK:D12 RINSE 10 ; DECAY WORK:A12 0.10 0.09 ; DECAY WORK:H03 0.05 0.00 ; RINSE SRC:A04 20 0.06,25,three_zone_validation,eight_channel,carryover_prone,5.208,7.8341,0.0,92.1659,0.03
adl_000006,WORK:C02,SEED ANTIGEN_A SRC:A05 80 ; SEED ANTIGEN_B SRC:C01 60 ; SEED BUFFER SRC:A04 60 ; SEED ANTIGEN_B SRC:C06 60 ; PIPET SRC:A05 OUT:D01 18 0.00 ; PIPET SRC:C01 OUT:D01 36 0.02 ; PIPET SRC:A04 WORK:B09 12 0.07 ; FANOUT SRC:C01 WORK:B09 WORK:A05 WORK:E09 9 0.20 0.40 0.06 ; PIPET WORK:A05 WORK:B09 16 0.05 ; PIPET OUT:D01 WORK:A05 12 0.00 ; FANOUT SRC:A05 WORK:E09 WORK:C02 WORK:G12 12 0.50 0.20 0.03 ; PIPET SRC:A05 WORK:E09 16 0.05 ; PIPET WORK:A05 WORK:B09 20 0.05 ; EVAP SRC:A05 0.05 ; FANOUT SRC:C06 WORK:G12 WORK:A05 WORK:D05 24 0.20 0.40 0.00 ; RINSE WORK:D05 16 0.01 ; FANOUT SRC:C01 OUT:D01 WORK:B09 WORK:C02 9 0.20 0.20 0.00 ; PIPET SRC:C01 WORK:E09 20 0.00 ; FANOUT SRC:C06 WORK:E09 OUT:D01 WORK:H05 12 0.50 0.20 0.00 ; DECAY WORK:D05 0.05 0.14 ; DECAY OUT:D01 0.10 0.00 ; RINSE SRC:C06 20 0.10 ; PIPET WORK:D05 WORK:B09 8 0.05 ; FANOUT WORK:H05 WORK:G12 WORK:E09 WORK:C02 24 0.50 0.30 0.03 ; CAP WORK:D05 55 ; PIPET SRC:C06 WORK:B09 16 0.02 ; FANOUT WORK:E09 WORK:H05 WORK:C02 WORK:B09 12 0.40 0.30 0.03,27,three_zone_validation,span8,mixed_stress,11.9184,35.97725,64.02275,0.0,0.0
adl_000007,WORK:A08,SEED ANTIGEN_A SRC:A04 60 ; SEED ANTIGEN_B SRC:D01 120 ; SEED BUFFER SRC:C02 120 ; SEED ANTIGEN_B SRC:A05 60 ; PIPET SRC:A04 WORK:B08 24 0.04 ; PIPET SRC:D01 WORK:B08 24 0.04 ; PIPET SRC:C02 OUT:C07 24 0.02 ; PIPET SRC:A04 WORK:D03 16 0.02 ; PIPET SRC:C02 WORK:E05 8 0.05 ; PIPET SRC:A04 WORK:E01 12 0.08 ; FANOUT WORK:E01 WORK:E07 WORK:E01 WORK:C02 24 0.30 0.40 0.00 ; DECAY WORK:C02 0.15 0.09 ; PIPET WORK:E01 OUT:C03 16 0.08 ; PIPET OUT:C03 WORK:G06 16 0.05 ; PIPET SRC:A04 OUT:C03 6 0.08 ; PIPET OUT:C03 WORK:C02 8 0.00 ; CAP OUT:C03 90 ; DECAY SRC:C02 0.00 0.04 ; CARRY WORK:E05 WORK:E05 1500 ; DILUTE WORK:E01 RINSE 15,20,three_zone_validation,single_tip,evaporation_prone,0.0,0.0,0.0,0.0,0.0
adl_000008,OUT:C10,SEED ANTIGEN_A SRC:A04 120 ; SEED ANTIGEN_B SRC:C03 120 ; SEED BUFFER SRC:D05 100 ; SEED ANTIGEN_A SRC:A01 60 ; PIPET SRC:A04 OUT:C10 30 0.07 ; PIPET SRC:C03 OUT:C10 36 0.02 ; PIPET SRC:D05 WORK:E11 36 0.07 ; RINSE SRC:C03 8 0.06 ; CAP WORK:E11 40 ; PIPET WORK:E11 WORK:E11 4 0.02 ; FANOUT SRC:D05 WORK:F09 WORK:E11 OUT:C10 9 0.40 0.40 0.00 ; FANOUT WORK:F09 WORK:H05 WORK:B04 WORK:C04 18 0.20 0.30 0.03 ; PIPET SRC:D05 OUT:C06 20 0.02 ; FANOUT SRC:C03 WORK:F07 WORK:F09 WORK:B02 9 0.30 0.20 0.00 ; FANOUT OUT:C06 WORK:C04 WORK:B04 WORK:B02 9 0.40 0.30 0.00 ; FANOUT WORK:H05 OUT:B06 WORK:F07 OUT:C10 9 0.40 0.40 0.06 ; DILUTE WORK:B04 ANTIGEN_B 10 ; CARRY SRC:A01 WORK:H05 1500 ; DILUTE OUT:C07 RINSE 5 ; FANOUT SRC:A01 WORK:B09 WORK:B02 OUT:C07 24 0.30 0.20 0.03 ; DILUTE WORK:F07 ANTIGEN_B 20 ; CARRY OUT:C10 WORK:F09 250 ; PIPET OUT:C06 WORK:H05 20 0.00 ; PIPET SRC:D05 WORK:H05 12 0.00 ; DECAY OUT:C07 0.15 0.04 ; PIPET WORK:H05 OUT:C04 8 0.00 ; DECAY WORK:C04 0.10 0.04 ; CAP WORK:B04 25 ; CARRY WORK:E11 WORK:F07 250 ; DECAY WORK:B04 0.05 0.09 ; EVAP SRC:A04 0.12 ; CAP WORK:E11 40 ; RINSE WORK:F09 8 0.06,33,source_to_assay,span8,carryover_prone,65.1113,42.84971,54.18414,2.96615,0.0
adl_000009,WORK:C10,SEED ANTIGEN_A SRC:B06 80 ; SEED ANTIGEN_B SRC:B03 80 ; SEED BUFFER SRC:C05 120 ; SEED ANTIGEN_A SRC:D06 60 ; PIPET SRC:B06 WORK:F01 18 0.00 ; PIPET SRC:B03 OUT:B12 18 0.07 ; PIPET SRC:C05 WORK:C10 30 0.07 ; RINSE SRC:D06 16 0.01 ; PIPET OUT:B12 OUT:B05 6 0.08 ; PIPET SRC:C05 OUT:C04 6 0.05 ; PIPET WORK:F01 WORK:F01 20 0.02 ; CARRY OUT:B05 OUT:B05 750 ; RINSE WORK:C10 20 0.06 ; EVAP WORK:C10 0.02 ; DILUTE WORK:G01 BUFFER 10 ; CARRY WORK:G01 WORK:C06 3000 ; DECAY SRC:B06 0.05 0.04 ; EVAP SRC:B06 0.18 ; FANOUT WORK:F01 WORK:C10 WORK:C06 WORK:A05 18 0.20 0.20 0.06 ; FANOUT SRC:B03 OUT:B05 WORK:C06 OUT:A04 18 0.40 0.20 0.03 ; PIPET SRC:B06 WORK:C10 16 0.08 ; DECAY SRC:D06 0.00 0.04 ; PIPET OUT:B12 WORK:A05 20 0.00 ; FANOUT OUT:C04 OUT:A04 WORK:G01 WORK:F01 9 0.50 0.30 0.00 ; DILUTE OUT:C04 ANTIGEN_A 15 ; RINSE SRC:B06 16 0.10 ; PIPET OUT:C04 WORK:D04 6 0.08 ; EVAP OUT:A04 0.08 ; PIPET WORK:D04 OUT:B12 6 0.02 ; PIPET SRC:B03 WORK:A05 16 0.08,30,three_zone_validation,span8,carryover_prone,39.27684,44.88828,0.0,55.11172,0.03
